Phone Code,Area,Example,Latitude,Longitude
113,Leeds,(0113) xxx xxxx,53.801279,-1.548567
114,Sheffield,(0114) xxx xxxx,53.381129,-1.470085
115,Nottingham,(0115) xxx xxxx,52.95477,-1.158086
116,Leicester,(0116) xxx xxxx,52.636878,-1.139759
117,Bristol,(0117) xxx xxxx,51.454513,-2.58791
118,Reading,(0118) xxx xxxx,51.452884,-0.973906
1200,Clitheroe,(01200) xxxxxx,53.871098,-2.393083
1202,Bournemouth,(01202) xxxxxx,50.719164,-1.880769
1204,Bolton,(01204) xxxxxx,53.584441,-2.428619
1205,Boston,(01205) xxxxxx,52.97894,-0.026577
1206,Colchester,(01206) xxxxxx,51.895927,0.891874
1207,Consett,(01207) xxxxxx,54.851797,-1.833026
1208,Bodmin,(01208) xxxxxx,50.46863,-4.715114
1209,Redruth,(01209) xxxxxx,50.233022,-5.226666
121,Birmingham,(0121) xxx xxxx,52.486243,-1.890401
1223,Cambridge,(01223) xxxxxx,52.205337,0.121817
1224,Aberdeen,(01224) xxxxxx,57.149717,-2.094278
1225,Bath,(01225) xxxxxx,51.375801,-2.359904
1226,Barnsley,(01226) xxxxxx,53.55263,-1.479726
1227,Canterbury,(01227) xxxxxx,51.280233,1.078909
1228,Carlisle,(01228) xxxxxx,54.892473,-2.932931
1229,"Barrow-in-Furness, Millom [Barrow]",(01229) xxxxxx,54.163336,-3.254259
1233,Ashford (Kent) ,(01233) xxxxxx,51.146466,0.875019
1234,Bedford,(01234) xxxxxx,52.140829,-0.462191
1235,Abingdon,(01235) xxxxxx,51.67078,-1.287953
1236,Coatbridge,(01236) xxxxxx,55.862241,-4.019337
1237,Bideford,(01237) xxxxxx,51.016684,-4.206666
1239,Cardigan,(01239) xxxxxx,52.082803,-4.655819
1241,Arbroath,(01241) xxxxxx,56.559107,-2.591543
1242,Cheltenham,(01242) xxxxxx,51.897599,-2.075609
1243,Chichester,(01243) xxxxxx,50.83761,-0.774936
1244,Chester,(01244) xxxxxx,53.193392,-2.893075
1245,Chelmsford,(01245) xxxxxx,51.734964,0.476197
1246,Chesterfield,(01246) xxxxxx,53.235048,-1.421629
1248,Bangor (Gwynedd),(01248) xxxxxx,53.22739,-4.129263
1249,Chippenham,(01249) xxxxxx,51.458058,-2.116074
1250,Blairgowrie,(01250) xxxxxx,56.588823,-3.345894
1252,Aldershot,(01252) xxxxxx,51.248366,-0.755751
1253,Blackpool,(01253) xxxxxx,53.821273,-3.055453
1254,Blackburn,(01254) xxxxxx,53.748575,-2.487529
1255,Clacton-on-Sea [Clacton],(01255) xxxxxx,51.789534,1.153035
1256,Basingstoke,(01256) xxxxxx,51.262551,-1.093609
1257,Coppull,(01257) xxxxxx,53.621543,-2.662958
1258,Blandford Forum,(01258) xxxxxx,50.856908,-2.165353
1259,Alloa,(01259) xxxxxx,56.114073,-3.791896
1260,Congleton,(01260) xxxxxx,53.162856,-2.218923
1261,Banff,(01261) xxxxxx,57.666505,-2.524038
1262,Bridlington,(01262) xxxxxx,54.08535,-0.198802
1263,Cromer,(01263) xxxxxx,52.931448,1.301866
1264,Andover,(01264) xxxxxx,51.207093,-1.481246
1267,Carmarthen,(01267) xxxxxx,51.85762,-4.312131
1268,Basildon,(01268) xxxxxx,51.576084,0.488736
1269,Ammanford,(01269) xxxxxx,51.792888,-3.988459
1270,Crewe,(01270) xxxxxx,53.100405,-2.443821
1271,Barnstaple,(01271) xxxxxx,51.07816,-4.058338
1273,Brighton,(01273) xxxxxx,50.842941,-0.131312
1274,Bradford,(01274) xxxxxx,53.795984,-1.759398
1275,Clevedon,(01275) xxxxxx,51.442108,-2.856196
1276,Camberley,(01276) xxxxxx,51.33539,-0.742856
1277,Brentwood,(01277) xxxxxx,51.620475,0.307175
1278,Bridgwater,(01278) xxxxxx,51.127889,-3.003632
1279,Bishops Stortford,(01279) xxxxxx,51.869052,0.158605
1280,Buckingham,(01280) xxxxxx,51.999326,-0.987645
1282,Burnley,(01282) xxxxxx,53.789397,-2.255003
1283,Burton-on-Trent [Burton],(01283) xxxxxx,52.807792,-1.647135
1284,Bury-St-Edmunds,(01284) xxxxxx,52.248726,0.705933
1285,Cirencester,(01285) xxxxxx,51.718495,-1.968243
1286,Caernarfon,(01286) xxxxxx,53.139551,-4.273911
1287,Guisborough,(01287) xxxxxx,54.535,-1.0563
1288,Bude,(01288) xxxxxx,50.826636,-4.543678
1289,Berwick-on-Tweed [Berwick],(01289) xxxxxx,55.770242,-2.005395
1290,Cumnock,(01290) xxxxxx,55.453552,-4.265829
1291,Chepstow,(01291) xxxxxx,51.641856,-2.673804
1292,Ayr,(01292) xxxxxx,55.458564,-4.629179
1293,Crawley,(01293) xxxxxx,51.115416,-0.192876
1294,Ardrossan,(01294) xxxxxx,55.643889,-4.81182
1295,Banbury,(01295) xxxxxx,52.062901,-1.339775
1296,Aylesbury,(01296) xxxxxx,51.815606,-0.8084
1297,Axminster,(01297) xxxxxx,50.782727,-2.994937
1298,Buxton,(01298) xxxxxx,53.259082,-1.91483
1299,Bewdley,(01299) xxxxxx,52.375539,-2.316973
1300,Cerne Abbas,(01300) xxxxxx,50.808756,-2.477207
1301,Arrochar,(01301) xxxxxx,56.197685,-4.747293
1302,Doncaster,(01302) xxxxxx,53.52282,-1.128462
1303,Folkestone,(01303) xxxxxx,51.081397,1.169456
1304,Dover,(01304) xxxxxx,51.126371,1.316198
1305,Dorchester,(01305) xxxxxx,50.711164,-2.441181
1306,Dorking,(01306) xxxxxx,51.232202,-0.332378
1307,Forfar,(01307) xxxxxx,56.643558,-2.889062
1308,Bridport,(01308) xxxxxx,50.733577,-2.758301
1309,Forres,(01309) xxxxxx,57.609791,-3.61998
131,Edinburgh,(0131) xxx xxxx,55.953252,-3.188267
1320,Fort Augustus,(01320) xxxxxx,57.144234,-4.679817
1322,Dartford,(01322) xxxxxx,51.44621,0.216872
1323,Eastbourne,(01323) xxxxxx,50.768035,0.290472
1324,Falkirk,(01324) xxxxxx,56.001092,-3.783522
1325,Darlington,(01325) xxxxxx,54.52361,-1.559458
1326,Falmouth,(01326) xxxxxx,50.152571,-5.06627
1327,Daventry,(01327) xxxxxx,52.257473,-1.164947
1328,Fakenham,(01328) xxxxxx,52.831333,0.849324
1329,Fareham,(01329) xxxxxx,50.856146,-1.183182
1330,Banchory,(01330) xxxxxx,57.053856,-2.49096
1332,Derby,(01332) xxxxxx,52.92253,-1.474619
1333,Peat Inn,(01333) xxxxxx,56.275341,-2.88241
1334,St Andrews,(01334) xxxxxx,56.339316,-2.7965
1335,Ashbourne,(01335) xxxxxx,53.016626,-1.732179
1337,Ladybank,(01337) xxxxxx,56.280831,-3.12671
1339,"Aboyne, Ballater",(01339) xxxxxx,57.079654,-2.909401
1340,Craigellachie,(01340) xxxxxx,57.491008,-3.189215
1341,Barmouth,(01341) xxxxxx,52.722873,-4.056092
1342,East Grinstead,(01342) xxxxxx,51.128742,-0.014468
1343,Elgin,(01343) xxxxxx,57.649454,-3.318485
1344,Bracknell,(01344) xxxxxx,51.40226,-0.759494
1346,Fraserburgh,(01346) xxxxxx,57.693352,-2.007631
1347,Easingwold,(01347) xxxxxx,54.120007,-1.191878
1348,Fishguard,(01348) xxxxxx,51.993927,-4.975989
1349,Dingwall,(01349) xxxxxx,57.595347,-4.428411
1350,Dunkeld,(01350) xxxxxx,56.568195,-3.587103
1352,Mold,(01352) xxxxxx,53.167203,-3.141903
1353,Ely,(01353) xxxxxx,52.399539,0.262363
1354,Chatteris,(01354) xxxxxx,52.456102,0.054012
1355,East Kilbride,(01355) xxxxxx,55.760631,-4.164558
1356,Brechin,(01356) xxxxxx,56.733342,-2.655289
1357,Strathaven,(01357) xxxxxx,55.675627,-4.064323
1358,Ellon,(01358) xxxxxx,57.364597,-2.072972
1359,Pakenham,(01359) xxxxxx,52.269226,0.825696
1360,Killearn,(01360) xxxxxx,56.046286,-4.372517
1361,Duns,(01361) xxxxxx,55.777794,-2.343461
1362,Dereham,(01362) xxxxxx,52.681618,0.937827
1363,Crediton,(01363) xxxxxx,50.792592,-3.651495
1364,Ashburton,(01364) xxxxxx,50.515772,-3.751395
1366,Downham Market,(01366) xxxxxx,52.606612,0.385472
1367,Faringdon,(01367) xxxxxx,51.658477,-1.584679
1368,Dunbar,(01368) xxxxxx,56.002087,-2.516737
1369,Dunoon,(01369) xxxxxx,55.950973,-4.926214
1371,Great Dunmow,(01371) xxxxxx,51.872924,0.361707
1372,Esher,(01372) xxxxxx,51.369487,-0.365927
1373,Frome,(01373) xxxxxx,51.230751,-2.320096
1375,Grays Thurrock,(01375) xxxxxx,51.472362,0.324684
1376,Braintree,(01376) xxxxxx,51.880087,0.550927
1377,Driffield,(01377) xxxxxx,54.005996,-0.443377
1379,Diss,(01379) xxxxxx,52.376491,1.108394
1380,Devizes,(01380) xxxxxx,51.348907,-1.994828
1381,Fortrose,(01381) xxxxxx,57.581558,-4.130675
1382,Dundee,(01382) xxxxxx,56.462018,-2.970721
1383,Dunfermline,(01383) xxxxxx,56.071741,-3.452151
1384,Dudley,(01384) xxxxxx,52.512255,-2.081112
1386,Evesham,(01386) xxxxxx,52.092149,-1.94677
1387,Dumfries,(01387) xxxxxx,55.070859,-3.60512
13873,Langholm,(013873) xxxxx,55.153062,-2.998913
1388,"Bishop Auckland, Stanhope",(01388) xxxxxx,54.712984,-1.792949
1389,Dumbarton,(01389) xxxxxx,55.945287,-4.564554
1392,Exeter,(01392) xxxxxx,50.718412,-3.533899
1394,Felixstowe,(01394) xxxxxx,51.961726,1.351255
1395,Budleigh Salterton,(01395) xxxxxx,50.630998,-3.320214
1397,Fort William,(01397) xxxxxx,56.819817,-5.105218
1398,Dulverton,(01398) xxxxxx,51.039649,-3.549685
1400,Honington,(01400) xxxxxx,52.978,-0.589
1403,Horsham,(01403) xxxxxx,51.062883,-0.325858
1404,Honiton,(01404) xxxxxx,50.799468,-3.188683
1405,Goole,(01405) xxxxxx,53.702941,-0.876381
1406,Holbeach,(01406) xxxxxx,52.803991,0.013434
1407,Holyhead,(01407) xxxxxx,53.309441,-4.633038
1408,Golspie,(01408) xxxxxx,57.973406,-3.976086
1409,Holsworthy,(01409) xxxxxx,50.809215,-4.353993
141,Glasgow,(0141) xxx xxxx,55.864237,-4.251806
1420,Alton,(01420) xxxxxx,51.150719,-0.973177
1422,Halifax,(01422) xxxxxx,53.72702,-1.85754
1423,"Boroughbridge, Harrogate",(01423) xxxxxx,54.051168,-1.465814
1424,Hastings,(01424) xxxxxx,50.854259,0.573453
1425,Ringwood,(01425) xxxxxx,50.844949,-1.788817
1427,Gainsborough,(01427) xxxxxx,53.400575,-0.774465
1428,Haslemere,(01428) xxxxxx,51.090856,-0.713373
1429,Hartlepool,(01429) xxxxxx,54.691745,-1.212926
1430,"Market Weighton, North Cave",(01430) xxxxxx,53.841707,-0.656557
1431,Helmsdale,(01431) xxxxxx,58.117261,-3.653533
1432,Hereford,(01432) xxxxxx,52.056398,-2.715974
1433,Hathersage,(01433) xxxxxx,53.329824,-1.655851
1434,"Bellingham, Haltwhistle, Hexham",(01434) xxxxxx,55.04913,-2.288488
1435,Heathfield,(01435) xxxxxx,50.973147,0.261241
1436,Helensburgh,(01436) xxxxxx,56.002318,-4.734014
1437,"Clynderwen, Haverfordwest",(01437) xxxxxx,51.847174,-4.82915
1438,Stevenage,(01438) xxxxxx,51.903761,-0.196612
1439,Helmsley,(01439) xxxxxx,54.246367,-1.061275
1440,Haverhill,(01440) xxxxxx,52.082766,0.440945
1442,Hemel Hempstead,(01442) xxxxxx,51.753241,-0.448632
1443,Pontypridd,(01443) xxxxxx,51.600774,-3.342314
1444,Haywards Heath,(01444) xxxxxx,50.999041,-0.106333
1445,Gairloch,(01445) xxxxxx,57.72822,-5.693912
1446,Barry,(01446) xxxxxx,51.399753,-3.282586
1449,Stowmarket,(01449) xxxxxx,52.188902,0.997712
1450,Hawick,(01450) xxxxxx,55.42706,-2.780914
1451,Stow-on-the-Wold,(01451) xxxxxx,51.931364,-1.726444
1452,Gloucester,(01452) xxxxxx,51.864245,-2.238156
1453,Dursley,(01453) xxxxxx,51.678768,-2.350518
1454,Chipping Sodbury,(01454) xxxxxx,51.535166,-2.390938
1455,Hinckley,(01455) xxxxxx,52.545455,-1.37667
1456,Glenurquhart,(01456) xxxxxx,57.3333,-4.4833
1457,Glossop,(01457) xxxxxx,53.442579,-1.94604
1458,Glastonbury,(01458) xxxxxx,51.147427,-2.718454
1460,Chard,(01460) xxxxxx,50.869792,-2.963316
1461,Gretna,(01461) xxxxxx,54.994997,-3.067108
1462,Hitchin,(01462) xxxxxx,51.94921,-0.283414
1463,Inverness,(01463) xxxxxx,57.477773,-4.224721
1464,Insch,(01464) xxxxxx,57.341405,-2.611882
1465,Girvan,(01465) xxxxxx,55.240164,-4.854218
1466,Huntly,(01466) xxxxxx,57.445936,-2.787806
1467,Inverurie,(01467) xxxxxx,57.283474,-2.373995
1469,Killingholme,(01469) xxxxxx,53.654626,-0.278976
1470,Isle of Skye - Edinbane,(01470) xxxxxx,57.471771,-6.424469
1471,Isle of Skye - Broadford,(01471) xxxxxx,57.242378,-5.913865
1472,Grimsby,(01472) xxxxxx,53.567471,-0.080784
1473,Ipswich,(01473) xxxxxx,52.056736,1.14822
1474,Gravesend,(01474) xxxxxx,51.441884,0.370759
1475,Greenock,(01475) xxxxxx,55.956476,-4.771983
1476,Grantham,(01476) xxxxxx,52.912524,-0.643582
1477,Holmes Chapel,(01477) xxxxxx,53.201306,-2.356242
1478,Isle of Skye - Portree,(01478) xxxxxx,57.412474,-6.196023
1479,Grantown-on-Spey,(01479) xxxxxx,57.33041,-3.609628
1480,Huntingdon,(01480) xxxxxx,52.33146,-0.182552
1481,Guernsey,(01481) xxxxxx,49.465691,-2.585278
1482,Hull,(01482) xxxxxx,53.745671,-0.336741
1483,Guildford,(01483) xxxxxx,51.23622,-0.570409
1484,Huddersfield,(01484) xxxxxx,53.645792,-1.785035
1485,Hunstanton,(01485) xxxxxx,52.938914,0.491032
1487,Warboys,(01487) xxxxxx,52.404533,-0.077056
1488,Hungerford,(01488) xxxxxx,51.412345,-1.517995
1489,Bishops Waltham,(01489) xxxxxx,50.952732,-1.213745
1490,Corwen,(01490) xxxxxx,52.980051,-3.369242
1491,Henley-on-Thames,(01491) xxxxxx,51.535764,-0.902894
1492,Colwyn Bay,(01492) xxxxxx,53.293182,-3.72764
1493,Great Yarmouth,(01493) xxxxxx,52.598233,1.728047
1494,High Wycombe,(01494) xxxxxx,51.628611,-0.748229
1495,Pontypool,(01495) xxxxxx,51.700369,-3.045268
1496,Port Ellen,(01496) xxxxxx,55.629351,-6.188893
1497,Hay-on-Wye,(01497) xxxxxx,52.076067,-3.123639
1499,Inveraray,(01499) xxxxxx,56.230958,-5.077106
1501,Harthill,(01501) xxxxxx,55.860724,-3.750294
1502,Lowestoft,(01502) xxxxxx,52.481138,1.753449
1503,Looe,(01503) xxxxxx,50.356227,-4.455232
1505,Johnstone,(01505) xxxxxx,55.837324,-4.513915
1506,Bathgate,(01506) xxxxxx,55.9024,-3.643118
1507,"Alford (Lincs), Louth, Spilsby",(01507) xxxxxx,53.285242,0.059168
1508,Brooke,(01508) xxxxxx,52.545428,1.381022
1509,Loughborough,(01509) xxxxxx,52.772099,-1.206166
151,Liverpool,(0151) xxx xxxx,53.41154,-2.990116
1520,Lochcarron,(01520) xxxxxx,57.397704,-5.503079
1522,Lincoln,(01522) xxxxxx,53.230688,-0.540579
1524,Lancaster,(01524) xxxxxx,54.046575,-2.80074
15242,Hornby,(015242) xxxxx,54.112372,-2.636141
1525,Leighton Buzzard,(01525) xxxxxx,51.919684,-0.660657
1526,Martin,(01526) xxxxxx,53.124673,-0.322768
1527,Redditch,(01527) xxxxxx,52.30897,-1.940936
1528,Laggan,(01528) xxxxxx,57.020481,-4.281999
1529,Sleaford,(01529) xxxxxx,53.000308,-0.40965
1530,Coalville,(01530) xxxxxx,52.724569,-1.367711
1531,Ledbury,(01531) xxxxxx,52.033882,-2.423574
1534,Jersey,(01534) xxxxxx,49.214439,-2.13125
1535,Keighley,(01535) xxxxxx,53.867795,-1.912358
1536,Kettering,(01536) xxxxxx,52.396322,-0.730249
1538,Ipstones,(01538) xxxxxx,53.045403,-1.97147
1539,Kendal,(01539) xxxxxx,54.328006,-2.74629
15394,Hawkshead,(015394) xxxxx,54.374143,-2.998136
15395,Grange-Over-Sands,(015395) xxxxx,54.191009,-2.910688
15396,Sedbergh,(015396) xxxxx,54.323629,-2.528174
1540,Kingussie,(01540) xxxxxx,57.081409,-4.054468
1542,Keith,(01542) xxxxxx,57.543094,-2.951526
1543,Cannock,(01543) xxxxxx,52.687071,-2.026485
1544,Kington,(01544) xxxxxx,52.203742,-3.029048
1545,Llanarth,(01545) xxxxxx,52.194335,-4.307419
1546,Lochgilphead,(01546) xxxxxx,56.038292,-5.432345
1547,Knighton,(01547) xxxxxx,52.341009,-3.046971
1548,Kingsbridge,(01548) xxxxxx,50.283948,-3.777493
1549,Lairg,(01549) xxxxxx,58.022058,-4.402414
1550,Llandovery,(01550) xxxxxx,51.997395,-3.797508
1553,Kings Lynn,(01553) xxxxxx,52.75649,0.400174
1554,Llanelli,(01554) xxxxxx,51.680886,-4.160248
1555,Lanark,(01555) xxxxxx,55.673865,-3.782138
1556,Castle Douglas,(01556) xxxxxx,54.940415,-3.931414
1557,Kirkcudbright,(01557) xxxxxx,54.837569,-4.04878
1558,Llandeilo,(01558) xxxxxx,51.88469,-3.99143
1559,Llandyssul,(01559) xxxxxx,52.041675,-4.309198
1560,"Moscow, Dunlop, Darvel, Fenwick, Stewarton",(01560) xxxxxx,55.679957,-4.513587
1561,Laurencekirk,(01561) xxxxxx,56.831345,-2.472517
1562,Kidderminster,(01562) xxxxxx,52.388596,-2.249684
1563,Kilmarnock,(01563) xxxxxx,55.614719,-4.498792
1564,Lapworth,(01564) xxxxxx,52.339016,-1.762603
1565,Knutsford,(01565) xxxxxx,53.300594,-2.371833
1566,Launceston,(01566) xxxxxx,50.640134,-4.358558
1567,Killin,(01567) xxxxxx,56.469346,-4.319211
1568,Leominster,(01568) xxxxxx,52.2257,-2.742772
1569,Stonehaven,(01569) xxxxxx,56.963661,-2.209288
1570,Lampeter,(01570) xxxxxx,52.112903,-4.078509
1571,Lochinver,(01571) xxxxxx,58.149735,-5.240615
1572,Oakham,(01572) xxxxxx,52.669563,-0.726625
1573,Kelso,(01573) xxxxxx,55.59749,-2.43334
1575,Kirriemuir,(01575) xxxxxx,56.675117,-3.003501
1576,Lockerbie,(01576) xxxxxx,55.122245,-3.349008
1577,Kinross,(01577) xxxxxx,56.206132,-3.4229
1578,Lauder,(01578) xxxxxx,55.722936,-2.756614
1579,Liskeard,(01579) xxxxxx,50.45552,-4.464719
1580,Cranbrook,(01580) xxxxxx,51.095582,0.537639
1581,New Luce,(01581) xxxxxx,54.943406,-4.850547
1582,Luton,(01582) xxxxxx,51.878671,-0.420026
1583,Carradale,(01583) xxxxxx,55.591379,-5.4683
1584,Ludlow,(01584) xxxxxx,52.367749,-2.713913
1586,Campbeltown,(01586) xxxxxx,55.424117,-5.605374
1588,Bishops Castle,(01588) xxxxxx,52.495025,-2.996103
1590,Lymington,(01590) xxxxxx,50.758531,-1.54191
1591,Llanwrtyd Wells,(01591) xxxxxx,52.107586,-3.637427
1592,Kirkcaldy,(01592) xxxxxx,56.116825,-3.158137
1593,Lybster,(01593) xxxxxx,58.304216,-3.285232
1594,Lydney,(01594) xxxxxx,51.72913,-2.530504
1595,"Lerwick, Foula, Fair Isle",(01595) xxxxxx,60.000053,-1.543419
1597,Llandrindod Wells,(01597) xxxxxx,52.2417,-3.377742
1598,Lynton,(01598) xxxxxx,51.229654,-3.840102
1599,Kyle of Lochalsh,(01599) xxxxxx,57.28111,-5.713349
1600,Monmouth,(01600) xxxxxx,51.816132,-2.714501
1603,Norwich,(01603) xxxxxx,52.630886,1.297355
1604,Northampton,(01604) xxxxxx,52.240477,-0.902656
1606,Northwich,(01606) xxxxxx,53.259754,-2.518271
1608,Chipping Norton,(01608) xxxxxx,51.943544,-1.542189
